Paiwan,English
ta zua sicuacuayan a e djaljayan nua ramaljemaljeng,Those millet seeds from the old man in the past can no longer be found
patagilj anga kitulu ljetaladj anga sinsi sema kiusic qivu a hanciw gacalju kicungalu ,It is time for class the teacher walked into the classroom and the monitor said Stand up Salute
ui,Yes it is furniture
neka ku gemalalj,I have never been messed with
tiaken a ti Kuljelje,I am Kuljelje
temavalj,seedling
aza tja aya lja,We have been doing this since we were kids
kacuing na men a sema kasengsengan,Just take us to the construction site
kisapitjanu tua su ljaqediqedi a pacun,Share the book with your classmate next to you
tjamanguwaq tjasi anga sikudakuda tucu anga,Life is more stable now
sauti ui sauti,Saudi Arabia Yes Saudi Arabia
malaingtucu anga,It is easy now
aw aicu a nimadju a kinacavacavan a aicu a ladruadruq,Then this long part is its body
tacavilj,first year
izua liyaw a ravac a gadu i tua tja qinaljan,Yes our tribe has many mountains
a nakarakudakuda imaza i kuba,Come to work in the factory
a e ae zinalangan na i tjumaq a tja matjaljaljak maqati a tjasipaveli,Our parents legacies can be sold
caqi a numaljia numaljia mantjentjez a en naselapay a,It is hard enough to feed you guys every day
madrusa,There is two of them
a patagilj tjaucikel nua u kamanga,I remember my father mentioning it at the beginning
ridraridren a dremadrikitjan a mayatucu taleman ta siangku,You can saw it off saw it like this and use it to grow shiitake mushrooms
kinsa,rice
a kakedrian a maqacuvucuvung uri gemaugau a kisan uri masane caucau a kitulu tu mavacuk a kikavecengel a semanturivecan a kiqaluvuan,As a teenager he or she is required to undergo a rite of passage learn to cultivate the land and learn to handle hunting weapons and fight
inianan u djaljung,I am not full
tima sun ne ljaima sun ne e aya ayain aya nua e mareka tjaisangasangas a mamazangiljan a sema karuljuc,Who are you What family are you from You will be asked by the deceased ancestors of the royal family
mapaulaula itjen ui,It is very comforting
azua na kadradringan,He is the Grand Wizard
tia en,me
uii sa sanguaq aravac nutja pacunan aicu a kudamunu,Yes These fruits look great
ka vaikanga aza qinaljan ka palisian tua maljeput,After they left the tribe they put a curse on the place to make it disappear
nu kemizing itjen ika tjen a kemizing tua,When we use a spoon to pick up the food we must not
tua,there are
mase laulian tiamadju ta senay a ramaljemaljeng ta sicuayan a senay,The elders sang an old song as they told of their accomplishments
avan anga zua sema anga ken,That is when I went to Dhahran
a setjalidri,From the Otani family
varung,heart
aicu a galaljeng,It is haunted
ku sinnavan anga kisi,I already washed the dishes
ita sakeman ita zumaui namaya tazua kusikudakuda,When cry at other peoples houses because they want to eat
azazicu a situcuan a liningdjengedjeljan uri tja sikasarenguaq na tja sikavaljutan,All these modern facilities will make our life more convenient
na avan zua nia kinalakudakuda,That is what we are doing
qadjaw ki inuan a nameciluqe,I do not know when I got pregnant
ui a semaljur,Yes Straighten your legs
sa tja qededi a semualap azua supiaq,Then cut the taro stalks
ikaken a matazua,I will not do that
tu aya kaw,How was it then
saka,as soon as
nukivangavangavan aken ka kakedriyan paqenetje aken,Memories of childhood games
anema su sipapupicul taicua,You can give us some encouragement
ui pasedjamy aken ta su inpic,Yes can you lend me a pen
kanu macaitje nu tjai sangas,If someone died in the past
tapuluq,ten
qadjaw kana miljukul lja,He is supposed to be squatting
maquca,bustling
pai pacunu a pasa maza kisaseljangu tjanuaken a semupu,Look here please Repeat after me
mapida a supu a caucau na kacalisian a penuljat,What is the total population of the Aborigines
ku tinaranganga saka maya marekutj,God said I have kept it long ago so have no fear
vanu aza sikataqaljan nua za tji Muakay aya,Mokaiyis tribesmen
uqaljaqaljay,Male
macidil a maali a men a maljaljaqedi a maledrangidrangi,We meet with our neighbors and friends
kimurmur,brush ones teeth
mangedjezanga sun ama,Uncle you are here
anema tja alapen ui,What are we hunting
ti Kuliu a u ngadan,My name is Kuliu
langalj,Cup
sepatj a sikapavalitan izua kaljevuvuan kaljazalangezangan kaljauragan kaljazekalan,There are four seasons spring summer fall and winter
qaw nuri temeljar anga tjevutavuta anga azua teljar,And then just as it was getting light just as it was getting light
ika sun a vaikanga,You do not even go there anymore
siapu apu,betel nut chewer
liyav azua asiv a sinaqasan a rinidraridran,Lots of cut and sawed trees
setangal za sekaumaqan a pacun,The people in the village were curious
aw tiaken sang ka aken ta,I am the only one who took the exam
ui,Right
idu ui idu kengcengelju nia nu sini pazekatj aya,Come on come on come on Please come to lunch We have reservations for you
pida valjitjuq nu velin a ljemedrusa,How much for both
ui pay tjemalju a kemasi linpanpan,Well can you tell us about the time we were in Limbaugh
ingkinki aya na ingkinki aya,It is an edible wild fruit
kipavalivali,to enjoy the coolness of the air
aw ka sema amen avan azua i na mazua men i,At that time we were traveling to Arabia towards Jeddah
djavadjavai a masantalj uri vaik itejn a sema tua pu qemuziquzipan tucu,Hello everyone we are going to the zoo today
aicu uri patagilj anga ken a semenai ta zazairan,I am going to start singing the lead now
izua men a na iputuʼuzan a men sa ne ljamaljama tuazua nia sinu asiv a nia ljinaceng,We took sticks and burned them to cut the grass that had fallen from the leaves
na vuvaljaw mun kata za,Are you married
neka,No it is not
i inuinu,Where is it
ulja na masuluem anga sinaw na kina a matjatjan,Because it was late and dark and his mom told him to go fetch water
kauwante,Gawande
nekanga bulabulay ta cuqelalj,The bones of his body were almost broken
kedri anga tucu anga,Less so now
aicu a tinekuteku a tja umaq makaya sikiqeljin ta siselapayan nu venali nu lemuni,The low pressure design is shockproof and windproof
tucu a masulesulem a qadav uri tjumaq a ku kaka a tjaljaljak a uqaljay,My younger brother is going home this evening
kuljaljau matuaya zua ramaljemaljeng,I think the elders said it is an old building
anema uri su kudain nu tiaw,So what are you doing tomorrow
a kinaqinaljanan na titjen a kacalisiyan ika makeljan anga tu kemasingida a pinatagiljan a vinqacan tu pidanga cavilj a paqulid,The old sites of Native American tribes are almost always old and ancient tribes with no known date of creation
uri kemuda anga timadju nuvaik i gakku,What is he doing after school
i gakku pai,We are at school
tjelu sepatj apuluq a umaq,years old apartment
ui a ku cekelj,Yes my husband
su sinipasedjam tjai camak anga,Did you lend it to came
malevaitje a paqulid tua kisenai tua kiljivak nuatja Cemas,We are really glad that God has blessed and cared for us
maleva tjuruvu a caucau ta tjeljavang aken sa djaljun tua qaqacuvungan,Everyone was happy when I reached the finish line
tjemapis madrumulj,touch
a drusa djinameq a sacemel aya,It means catching two prey
anemanga nu kikasivan namaka u aljak aya en,Because I want to be able to cut wood for my kids
aw aicu aicu anem cu i a ti te a patekuteku,What about this one What is this one at the bottom
aw nu ljemitacavilj tja pavaliden a i vavaw,And then every year the upper part of the roof is replaced
dukeduken a qumaqan,Inside the hole
maljaljavaljavar,Communication
migereger,tremble
manu kiljingan amen,We were criticized
venelaq,split
su paljavavaven aravac ca zaljum,You are using too much water
keman tjiyamdjuaya kana keman aya,They started eating and then they ate
saka izua cemas,And then our ancestors
a emeljan tazua a nimitja a niamatju a sikac tjayain,When I realized that ours was their life at that time
mukav maung,vegetable fern
qarizang,yard long bean
izua na kisumalji a taliduan na i qinaljan,Any special events at the tribe
kaka lakelel tuki kuljaljau,Is it Lili or Gulou
venaesing,sneeze
piya,mans name
cuay anga a sun a kinipusengesengan,How long have you been working
malap anan tia vuvu ta qalev sa tidivi aicu kinsa sanguaq aravac a tinidivan tua qalev,Grandparents and other elders would remove and lower the fat into the rice and the low fat rice was very tasty
na anema saqetjuan,What is wrong
ljavilu,Formic acid pulp leaf
miseleman ika mapacun a djaljan,It is too dark to see the road
izui kadjalanan,on the road
milingan,Time
kemuda sun a sema tapaw,How do you go to the block house
venaras,fishing for fish and shrimp by cage
kipusausau a taqaljaqaljan taza se tjarivavav,Tribal people above the tribal people
hahahah,hahahaha
parimasudj amen a ljemita qadaw sa tja ljenguaqi a parimasudj a tja kakituluan,We have to clean every day and everyone has to clean the classroom
ui lja avan nuvaik a mavavuwa tiamadju,Like when they go to work in the mountains
qaupai sa pucekelj anga tiya madju,And then they got married
angata,truly
tjamaucikel,It is the story
avan zua rinanaw niamadju a papaipaiyan,That is the altar they put there on purpose
izua i Kasuga a nia qinaljan,Our tribe is in Kasuga
inika sezam a djuadjuay ika sa vava,Do not overheat the glutinous rice it will spoil the wine
qadjayan sa sa cusui ta qau sa qalui azua saka madradrudradruy azua a ljusut azua a nanemanemanga,Tie up all the irons with a rope so they swing around when they can tax
kisan cemulju,Specialized handling
djaudjav,Groundnut Leaf
kiaya,harvest
tjengelay ken sekeljang tua atalasi a qali dikilu amen maciul a semenay kata kemavekav,I love meeting new people we can sing and swim together
timadju a napacucun,He is the only one who sees it
makasuapanga sun,Are you done sweeping
kau ljaki tja aza kelevelevan aicu a,And then the climate
tjemugut,sowing
upu,masonry
a pimaza i pinu se akavan tjalja tjuruvuan a caucau i pinu se tjaljakavusan,The population is mainly concentrated in Pingtung County with the population of Zhiyi Township taking the top spot
papinseg sikaqilji,prohibit
kaw maqulip a tja tjaljayan a liyaw kasicuayan,So many varieties have disappeared
satje vaik a sema gimen a djungla,Then I will patrol the police station
azua nekanan a qataqata sicuayan ui,Because in the oldest days there was no headwork
nima aicu a siquliqulip,Whose eraser is it
tjaljiqaca,Land Cantonment
lekelek,vegetarian linen thread for weaving
inuan ti kadraw,Where is draw
aicu a kanakana ri,Where is the bottle
masalu tua maqati aken a kivadaq tjanusun,Thank you for accepting the interview
ayaing ta sicauvan,underquilt
paravacen,considered holy
amiwa i lavuti ni tjadrava a temalidulidu,A friend will cut out the funny ones
u ailja elualumedan namen ne ai nu ai,When we are thinking of
izuanga na macay ta aya ri ta vavuy,Has anyone ever been bitten by a mountain pig
isauniuni,at once
inia katjenamasiaq,We do not have to worry we do not have to be embarrassed
kimaya tjelu puluq a cavilj madraudraw ken ljaljak lja,About years I have forgotten
malaing anga kinasudjuan turi pazekatj turi pakainu a varung tunazua na ki paqaljai na kipa pasaladj aicu a sauqaljai namaitazua aicu a tja kakudanan,The mans family will have to apologize for all the mistakes big and small some of which can be negotiated verbally
ui na seman pazangal a nia cemekemekelj ta penayuanan,Yes our family emphasizes the importance of speaking the language
na vaik aken a kipakim tjay sinsi,I went to meet the teacher
tatui imaza kan ea u kanen ika en a makaya patjekulj imaza itua tjai kanavalj itjai kaviri tja nuaken itja nuakene palisi aya vavulungan,If I were to be here I would not be able to take from my left or right side and the elders say that this is forbidden
kaw na sema ta aken a aya a sema sivitai,That is why I joined the National Guard
tjaljezuavaw a tjaucikelan,That is the end of my story
au aza mareka tja vuvu sangasangasan a tja gaugavan,And then there is the deceased ancestors to share in the worship
na qinuliqulip ti kuravak ikauy timadju,Sister in law wanted to abolish this culture
tja kesay ananeini tja ayatucuing,Do we still have to cook it No we will do it this way
aw sekeljang aken ta se masa mavan na siniqati a malaing kawmaya,Then I met the people of Odaizaka Village Maybe it was fate
sikamasan pidalj,The first few
makasuapanga ken,I swept it
kemalje alu,eighth month
aza djungdjiu niamadju malum a mamazangiljan a tiamadju a napaqaljai nu mapasusu a namaseqetj,When it is the right time to talk we respect each other
